frame,xmin,ymin,xmax,ymax,class,conf
frame_00002.jpg,2884,26,3004,147,no_mask,0.38357892632484436
frame_00030.jpg,1935,965,2078,1103,no_mask,0.42671293020248413
frame_00031.jpg,1889,927,2033,1097,no_mask,0.7801058292388916
frame_00031.jpg,454,800,576,919,mask,0.27085229754447937
frame_00032.jpg,1827,1006,1973,1152,no_mask,0.742129921913147
frame_00032.jpg,310,813,462,969,mask,0.3459785282611847
frame_00033.jpg,1785,1009,1903,1127,no_mask,0.7552381157875061
frame_00040.jpg,3153,913,3261,1022,no_mask,0.4037207365036011
frame_00060.jpg,1935,965,2078,1103,no_mask,0.42671293020248413
frame_00061.jpg,1914,927,2065,1090,no_mask,0.6177460551261902
frame_00062.jpg,1889,927,2033,1097,no_mask,0.7801058292388916
frame_00062.jpg,454,800,576,919,mask,0.27085229754447937
frame_00063.jpg,1865,931,2016,1109,no_mask,0.3755791485309601
frame_00064.jpg,1827,1006,1973,1152,no_mask,0.742129921913147
frame_00064.jpg,310,813,462,969,mask,0.3459785282611847
frame_00065.jpg,1800,1041,1945,1167,no_mask,0.8364574909210205
frame_00065.jpg,191,784,392,975,no_mask,0.5743803977966309
frame_00065.jpg,545,972,594,1023,no_mask,0.3390715718269348
frame_00066.jpg,1785,1009,1903,1127,no_mask,0.7552381157875061
frame_00067.jpg,480,976,532,1017,no_mask,0.31678274273872375
frame_00071.jpg,3607,943,3714,1052,no_mask,0.5905236005783081
frame_00080.jpg,3153,913,3261,1022,no_mask,0.4037207365036011
frame_00084.jpg,3210,871,3323,1014,mask,0.36064234375953674
frame_00085.jpg,3237,868,3353,1011,mask,0.44486433267593384
frame_00086.jpg,3267,844,3387,997,mask,0.25782594084739685
frame_00087.jpg,3302,821,3455,1010,no_mask,0.6328433156013489
frame_00088.jpg,3365,832,3525,1019,no_mask,0.7853140830993652
frame_00089.jpg,3440,825,3633,1032,no_mask,0.7676978707313538
frame_00090.jpg,3556,802,3765,1036,no_mask,0.6132109761238098
frame_00090.jpg,3559,802,3773,1033,no_mask,0.40347158908843994
frame_00091.jpg,3676,721,3837,1020,no_mask,0.5898826122283936
frame_00109.jpg,834,964,974,1096,no_mask,0.511438250541687
frame_00116.jpg,694,986,819,1101,no_mask,0.6211215853691101
frame_00117.jpg,1078,1043,1157,1146,no_mask,0.27670490741729736
frame_00120.jpg,147,960,199,1012,no_mask,0.2708076238632202
frame_00121.jpg,744,981,782,1032,no_mask,0.5594093799591064
frame_00124.jpg,702,974,740,1023,no_mask,0.4706631898880005
frame_00125.jpg,682,978,727,1030,no_mask,0.502831220626831
frame_00125.jpg,530,994,570,1050,no_mask,0.2519649565219879
frame_00127.jpg,644,972,687,1024,no_mask,0.6532770991325378
frame_00128.jpg,630,981,669,1023,no_mask,0.25313037633895874
frame_00129.jpg,602,967,647,1019,no_mask,0.5436006188392639
frame_00129.jpg,414,988,456,1044,no_mask,0.37215712666511536
frame_00130.jpg,402,991,441,1052,no_mask,0.5233237147331238
frame_00130.jpg,471,1014,519,1068,no_mask,0.48945263028144836
frame_00130.jpg,585,972,628,1021,no_mask,0.488178014755249
frame_00130.jpg,451,1008,495,1066,no_mask,0.29659929871559143
frame_00131.jpg,359,982,407,1039,no_mask,0.3038226068019867
frame_00132.jpg,447,1014,498,1076,no_mask,0.664918839931488
frame_00132.jpg,544,967,590,1021,no_mask,0.5268685817718506
frame_00132.jpg,351,994,393,1056,no_mask,0.3262631297111511
frame_00133.jpg,312,981,352,1035,no_mask,0.291976660490036
frame_00135.jpg,492,954,534,1008,no_mask,0.3901749551296234
frame_00136.jpg,472,960,516,1008,no_mask,0.4204796254634857
frame_00137.jpg,446,954,492,1012,no_mask,0.5550620555877686
frame_00137.jpg,211,993,249,1051,no_mask,0.34522590041160583
frame_00138.jpg,428,962,474,1012,no_mask,0.6441901922225952
frame_00139.jpg,402,961,450,1018,no_mask,0.7165220975875854
frame_00140.jpg,383,962,429,1016,no_mask,0.330739289522171
frame_00141.jpg,351,965,398,1020,no_mask,0.48603007197380066
frame_00172.jpg,3603,1037,3686,1110,mask,0.5151891112327576
frame_00173.jpg,3626,1040,3704,1118,mask,0.32704588770866394
frame_00174.jpg,3672,1030,3745,1110,mask,0.31964972615242004
frame_00175.jpg,3700,1033,3771,1106,mask,0.4296393096446991
frame_00180.jpg,3313,949,3420,1061,no_mask,0.7828910946846008
frame_00183.jpg,2328,957,2405,1035,no_mask,0.6307522654533386
frame_00183.jpg,3505,884,3671,1054,no_mask,0.44451412558555603
frame_00184.jpg,2354,940,2428,1019,no_mask,0.29247063398361206
